account,date,classification,daily_pnl,trades_count,avg_trade_size,avg_exposure,win_rate,long_ratio,exposure_segment,frequency_segment,consistency_segment,next_day_pnl,profitable_next_day,behavior_cluster
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,Fear,19451.742477,95,3252.747008985474,98710.903102292,0.8842105263157894,0.0,High Exposure,Low Frequency,Consistent,,0,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,Greed,20925.513222,190,115.81315053889472,2723.7275294477367,0.5526315789473685,0.4421052631578947,High Exposure,Low Frequency,Consistent,8751.751449,1,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,8751.751449,182,16487.91208791209,303948.3097802198,0.2692307692307692,0.7307692307692307,High Exposure,Low Frequency,Inconsistent,,0,2.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,9,0.0607799999999999,0.0446666666666666,0.2222222222222222,0.7777777777777778,Low Exposure,Low Frequency,Inconsistent,21703.816513,1,1.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816513,525,0.1353101714285714,2.0832908923123807,0.3238095238095238,0.5657142857142857,Low Exposure,Low Frequency,Inconsistent,,0,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,1043,2571.132308878236,4491.090375043144,0.2751677852348993,0.4688398849472674,High Exposure,High Frequency,Inconsistent,2606.894756,1,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,Extreme Greed,2606.894756,3076,23763.398300536413,29265.385963819896,0.2187906371911573,0.4918725617685305,High Exposure,High Frequency,Inconsistent,62586.1816,1,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,Neutral,62586.1816,1643,4394.432638536214,93224.07301345975,0.2099817407181984,0.6202069385270846,High Exposure,High Frequency,Inconsistent,1421755.845871,1,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,1421755.845871,1268,1131.221459888896,85049.13046951673,0.5670347003154574,0.1167192429022082,High Exposure,High Frequency,Consistent,553818.000465,1,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,553818.000465,7380,798.100564308943,16761.656922021317,0.3910569105691057,0.4711382113821138,High Exposure,High Frequency,Consistent,,0,0.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,Fear,22488.500821,4838,268.0968867465895,31.90497553947913,0.4386109962794543,0.4894584539065729,Low Exposure,High Frequency,Consistent,,0,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,Fear,940157.212682,21190,208.86921428645587,98590.69078165804,0.467531854648419,0.5283152430391694,High Exposure,High Frequency,Consistent,,0,0.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,Greed,11671.68,267,1936.3370786516853,-152738.83370397004,0.1535580524344569,0.1835205992509363,Low Exposure,Low Frequency,Inconsistent,325441.977216,1,0.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,Fear,325441.977216,2211,4324.115647937585,-84569.43281770249,0.3722297602894618,0.4767073722297603,Low Exposure,High Frequency,Inconsistent,,0,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,Greed,684215.002602,9883,109.59313191338664,27038.95062888657,0.5692603460487706,0.3128604674693919,High Exposure,High Frequency,Consistent,126967.976166,1,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,126967.976166,26651,92.51356075172,3154.141629830895,0.3848636073693295,0.4715770515177667,High Exposure,High Frequency,Inconsistent,,0,0.0
